year,count,missing,mean,median,std,min,max
2014,19001,0,0.9463441794489199,0.2808351080930797,3.0957734961537766,0.12063137581503759,65.59058251001137
2015,19001,0,0.9562382988947457,0.23553284222699777,3.383086871711462,0.09083901454723037,73.31189495131682
2016,19001,0,1.002801382214081,0.2404394294399739,3.5722489908968367,0.06892127185360776,80.68299117693155
2017,19001,0,1.3130333383320385,0.45641040536896055,4.13226944832644,0.22697890429727496,140.1905550414946
2018,19001,0,1.3595478232366878,0.4235447243598898,5.935581882680929,0.18809454758717598,400.84016353372823
2019,19001,0,1.502770962076971,0.4843971870795509,5.452051497065664,0.220263538108836,269.7962949613039
2020,19001,0,1.5479677131674006,0.5408137540241346,5.302709924728223,0.28459402106620457,256.6233393237116
2021,19001,0,1.6723067641927514,0.6062706010807926,5.284668433088283,0.33118925419919226,209.83293172538419
2022,19001,0,1.7142335829074211,0.6039144440234498,4.994436425112211,0.3254061677285971,85.94740752214513
2023,19001,0,1.7828352117612465,0.6704469583154784,4.985502384505241,0.3485970658042057,92.0656091020522
2024,19001,0,1.8819770518142684,0.7143890236980018,5.133174231699944,0.37856244107932285,103.39829114615742
2025,19001,0,1.8684653988510882,0.6706812807797701,5.1981040277029615,0.35244566553678275,101.95542635959862
